"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"400",400,"Eutelsat 33C","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",33,35788,35794,7.12e-05,0.07,"1436.1","2950","1375","5900",2001-03-08,"12","Alcatel Space Industries","France","Guiana Space Center","Ariane 5","2001-011A",26719,-52.76898,5.21603
"401",401,"Eutelsat 36A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",36.09,35766,35806,0.000474,0.07,"1436.08","3190","1380","6000",2000-05-24,"12","Alcatel Space Industries","France","Cape Canaveral","Atlas 3A","2000-028A",26369,-80.53311,28.45861
"402",402,"Eutelsat 36B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",36,35786,35787,1.19e-05,0.07,"1436.09","5600","","13200",2009-11-24,"15","Thales Alenia Space","France","Baikonur Cosmodrome","Breeze M","2009-065A",36101,63.30091,46.00573
"403",403,"Eutelsat 3B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",3,35782,35791,0.000107,0.07,"1436.1","5967","","",2014-05-26,"15","Airbus Defense and Space","France","Sea Launch (Odyssey)","Zenit 3SL","2014-030A",39773,2,46
"404",404,"Eutelsat 48A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",9.08,35757,35815,0.000688,0.08,"1436.07","2915","1700","",1996-11-21,"14","Matra Marconi Space (Astrium)","France/UK/Germany","Cape Canaveral","Delta 2","1996-067A",24665,-80.53311,28.45861
"405",405,"Eutelsat 48B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",48,35777,35797,0.000237,0.09,"1436.12","5102","2060","",2012-11-10,"15","Thales Alenia Space","Italy","Guiana Space Center","Ariane 5 ECA","2012-062B",38992,-52.76898,5.21603
"406",406,"Eutelsat 5 West A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-4.93,35769,35805,0.000427,0.04,"1436.08","4050","1805","11000",2002-07-05,"15","Alcatel Space Industries","France","Guiana Space Center","Ariane 5","2002-035A",27460,-52.76898,5.21603
"407",407,"Eutelsat 65 West-A","NR","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-65,35776,35796,0.000237,0.08,"1436.07","6654","","16000",2016-03-09,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane 5","2016-014A",41382,-52.76898,5.21603
"408",408,"Eutelsat 7 West A","France","Eutelsat S.A./Nilesat","Multinational","Commercial","Communications","","GEO","",-7,35774,35799,0.000297,0.06,"1436.09","4600","","12000",2011-09-24,"15","Astrium","France","Sea Launch (Odyssey)","Zenit 3SL","2011-051A",37816,2,46
"409",409,"Eutelsat 70B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",70,35780,35800,0.000237,0.06,"1436.28","5250","","",2012-12-03,"15","EADS Astrium","France","Sea Launch (Odyssey)","Zenit 3SL","2012-069A",39020,2,46
"410",410,"Eutelsat 7A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",7.06,35769,35802,0.000391,0.06,"1436.07","4300","2000","",2004-03-15,"15","Astrium","France","Baikonur Cosmodrome","Proton M","2004-008A",28187,63.30091,46.00573
"411",411,"Eutelsat 7B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",7,35784,35794,0.000119,0.03,"1436.21","5404","","",2013-05-14,"15","Thales Alenia Space","France","Baikonur Cosmodrome","Proton M","2013-022A",39163,63.30091,46.00573
"412",412,"Eutelsat 8 West A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-12.5,35766,35806,0.000474,0.06,"1436.1","3150","1368","7400",2001-09-25,"15","Alcatel Space Industries","France","Guiana Space Center","Ariane 4","2001-042A",26927,-52.76898,5.21603
"413",413,"Eutelsat 8 West B","NR","Eutelsat S.A./Nilesat","Multinational","Commercial","Communications","","GEO","",-8,35773,35814,0.000486,0.1,"1436.1","5800","","",2015-08-20,"15","Thales Alenia Space","France/Italy","Guiana Space Center","Ariane 5","2015-039B",40875,-52.76898,5.21603
"414",414,"Eutelsat 9A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-30.01,35775,35799,0.000285,0.07,"1436.1","4100","1740","10000",2006-03-11,"15","Alcatel Alenia Space","France","Guiana Space Center","Ariane 5","2006-007B",28945,-52.76898,5.21603
"415",415,"Eutelsat Hot Bird 13A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",33,35756,35815,7e-04,0.09,"1436.06","3800","1900","9000",2002-08-28,"12","Alcatel Space Industries","France","Cape Canaveral","Atlas 5","2002-038A",27499,-80.53311,28.45861
"416",416,"Eutelsat Hot Bird 13B","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",13.08,35759,35812,0.000629,0.02,"1436.06","4900","","14000",2006-08-04,"15","EADS Space","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton/Breeze M","2006-032A",29270,63.30091,46.00573
"417",417,"Eutelsat Hot Bird 13C","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",0.99,35786,35787,1.19e-05,0.06,"1436.09","4880","2338","14500",2008-12-20,"15","EADS Astrium","France","Guiana Space Center","Ariane 5","2008-065A",33459,-52.76898,5.21603
"418",418,"Eutelsat Hot Bird 13D","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-0.07,35766,35806,0.000474,0.06,"1436.07","4892","2240","11000",2009-02-11,"15","EADS Astrium","France","Guiana Space Center","Ariane 5 ECA","2009-008B",33750,-52.76898,5.21603
"419",419,"Eutelsat Hot Bird 13E","NR","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",9,35780,35792,0.000142,0.08,"1436.06","5200","","",2016-01-29,"15","Airbus Defense and Space","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton","2016-005A",41310,63.30091,46.00573
"420",420,"Eutelsat KA-SAT 9A","France","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",9,35714,35856,0.00168,0.13,"1436.01","6150","3200","11000",2010-12-26,"15","EADS Astrium","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton","2010-069A",37258,63.30091,46.00573
"421",421,"Eutensat 115 West-B","NR","Eutelsat S.A.","Multinational","Commercial","Communications","","GEO","",-114.9,35789,35789,0,0,"1436","","","",2015-03-02,"15","Boeing Defense and Space","USA","Cape Canaveral","Falcon 9","2015-010B",40425,-80.53311,28.45861
"422",422,"exactView 1","Canada","exactEarth","Canada","Commercial","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,806,821,0.00104,99,"101.2","100","","",2012-07-22,"","Surrey Satellite Technologies Ltd.","United Kingdom","Baikonur Cosmodrome","Soyuz-Fregat","2012-039C",38709,63.30091,46.00573
"423",423,"exactView 6","Canada","exactEarth","Canada","Commercial","Communications","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,627,694,0.00476,98.2,"98","12","12","",2011-08-17,"","SpaceQuest","USA","Dombarovsky Air Base","Dnepr 1","2011-044F",37793,-57.65625,-14.60485
"424",424,"exactView 9","NR","exactEarth","Canada","Commercial","Communications","Automatic Identification System (AIS)","LEO","Equatorial",0,630,649,0.00136,6,"97.5","6","6","",2015-09-28,"","Space Flight Laboratory (SFL)","Canada","Satish Dhawan Space Centre","PSLV C-30","2015-052C",40932,-113.64258,60.10867
"425",425,"Express AM-22","Russia","Russian Satellite Communications Company (Intersputnik)/EUTELSAT","Russia/Multinational","Commercial","Communications","","GEO","",53.04,35781,35790,0.000107,0.02,"1436.06","2600","","6000",2003-12-28,"12","NPO-PM/Alcatel","Russia/France","Baikonur Cosmodrome","Proton K","2003-060A",28134,63.30091,46.00573
"426",426,"Express AMU1","NR","Russian Satelite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",36,35792,35795,3.56e-05,0.1,"1436.1","2700","","",2015-12-24,"15","Airbus Defense and Space","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2015-082A",41191,63.30091,46.00573
"427",427,"Express-A1R","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",13.97,35774,35798,0.000285,0.02,"1436.1","2600","","6000",2002-06-10,"10-Jul","NPO-PM/Alcatel","Russia","Baikonur Cosmodrome","Proton K","2002-029A",27441,63.30091,46.00573
"428",428,"Express-AM2","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",145,35785,35788,3.56e-05,0.04,"1436.1","2542","","6000",2005-03-29,"12","NPO-PM/Alcatel","Russia/France","Baikonur Cosmodrome","Proton K","2005-010A",28629,63.30091,46.00573
"429",429,"Express-AM3","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",103,35777,35795,0.000213,0.09,"1436.1","2600","","4200",2005-06-24,"12","NPO-PM/Alcatel","Russia/France","Baikonur Cosmodrome","Proton K","2005-023A",28707,63.30091,46.00573
"430",430,"Express-AM33","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",96.53,35782,35791,0.000107,0.05,"1436.1","2600","","",2008-01-28,"12","NPO-PM/Thales Alenia Space","Russia/France","Baikonur Cosmodrome","Proton M","2008-003A",32478,63.30091,46.00573
"431",431,"Express-AM44","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",-11,35987,35995,9.44e-05,0.11,"1446.57","2532","","",2009-02-11,"12","NPO-PM/Thales Alenia Space","Russia/France","Baikonur Cosmodrome","Proton M","2009-007A",33595,63.30091,46.00573
"432",432,"Express-AM5","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",140,35420,35940,0.00618,0.08,"1430.6","3400","","",2013-12-26,"15","OAO-ISS","Russia","Baikonur Cosmodrome","Proton M","2013-077A",39487,63.30091,46.00573
"433",433,"Express-AM6","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",53,34094,37636,0.0419,0.53,"1440.09","3358","1100","14000",2014-10-21,"15","ISS Reshetnev ","Russia","Baikonur Cosmodrome","Proton M","2014-064A",40277,63.30091,46.00573
"434",434,"Express-AM7","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",40,35777,35796,0.000225,0.01,"1436.1","5720","","18000",2015-03-18,"15","Airbus Defense and Space","France/UK/Germany/Spain","Baikonur Cosmodrome","Proton M","2015-012A",40505,63.30091,46.00573
"435",435,"Express-AM8","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",-14,35784,35788,4.74e-05,0.03,"1436.09","2100","","",2015-09-14,"15","ISS Reshetnev","Russia","Baikonur Cosmodrome","Proton DM","2015-048A",40895,63.30091,46.00573
"436",436,"Express-AT1","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",56,35781,35804,0.000273,0.06,"1436.4","1726","","",2014-03-15,"15","OAO-ISS","Russia","Baikonur Cosmodrome","Proton M","2014-010A",39612,63.30091,46.00573
"437",437,"Express-AT2","Russia","Russian Satellite Communications Company (Intersputnik)","Russia","Commercial","Communications","","GEO","",140,35609,35715,0.00126,0.1,"1429.75","1427","","",2014-03-15,"15","OAO-ISS","Russia","Baikonur Cosmodrome","Proton M","2014-010B",39613,63.30091,46.00573
"438",438,"Falconsat-3","USA","US Air Force Academy","USA","Military/Civil","Technology Development","","LEO","Non-Polar Inclined",0,538,540,0.000145,35.4,"95.4","46","","",2007-03-09,"","US Air Force Academy","USA","Cape Canaveral","Atlas 5","2007-006E",30776,-80.53311,28.45861
"439",439,"Fast On-orbit Recording of Transient Events) FORT√å√§ ","USA","Los Alamos National Labs/DOE","USA","Government","Earth Observation","Radar Imaging","LEO","Polar",0,790,823,0.0023,70,"101","215","41","55",1997-08-29,"3","Los Alamos National Lab/Sandia National Lab","USA","Vandenberg AFB","Pegasus XL","1997-047A",24920,-120.53757,34.75046
"440",440,"Fengniao 1A","NR","Chinese Academy of Space Technology (CAST)","China","Government","Technology Development","","LEO","Sun-Synchronous",0,488,500,0.000874,97.35,"94.49","160","","",2012-11-20,"","Chinese Academy of Space Technology (CAST)","China","Taiyuan Launch Center","Long March 2C","2012-064B",38998,105,35
"441",441,"Fengyun 2D","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","GEO","",86.51,35777,35791,0.000166,0.77,"1436","1390","620","",2006-12-08,"3","China Aerospace Corporation","China","Xichang Satellite Launch Center","Long March 3A","2006-053A",29640,105,35
"442",442,"Fengyun 2E","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","GEO","",123.59,35767,35803,0.000427,2.61,"1436.04","1390","620","",2008-12-23,"3","Shanghai Academy of Space Flight Technology","China","Xichang Satellite Launch Center","Long March 3A","2008-066A",33463,105,35
"443",443,"Fengyun 2F","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","GEO","",105,35760,35816,0.000664,2.19,"1436.19","1390","620","",2012-01-12,"3","Shanghai Academy of Space Flight Technology","China","Xichang Satellite Launch Center","Long March 3A","2012-002A",38049,105,35
"444",444,"Fengyun 2G","NR","China Meteorological Administration","China","Government","Earth Observation","Earth Science","GEO","",0,35770,35800,0.000356,2.27,"1436.02","1390","620","",2014-12-31,"","Shanghai Academy of Space Flight Technology","China","Xichang Satellite Launch Center","Long March 3A","2014-090A",40367,105,35
"445",445,"Fengyun 3A","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,820,835,0.00104,98.6,"101.5","2300","","",2008-05-27,"","Shanghai Academy of Space Flight Technology","China","Taiyuan Launch Center","Long March 4C","2008-026A",32958,105,35
"446",446,"Fengyun 3B","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,827,828,6.95e-05,98.8,"101.5","2300","","",2010-11-04,"","Shanghai Academy of Space Flight Technology","China","Taiyuan Launch Center","Long March 4C","2010-059A",37214,105,35
"447",447,"Fengyun 3C","China","China Meteorological Administration","China","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,827,828,6.95e-05,98.81,"101.45","2300","","",2013-09-23,"","Shanghai Academy of Space Flight Technology","China","Taiyuan Launch Center","Long March 4C","2013-052A",39260,105,35
"448",448,"Fermi Gamma-Ray Space Telescope","USA","NASA/GSFC","USA","Government","Space Science","","LEO","Non-Polar Inclined",0,537,556,0.00137,25.6,"95.6","4303","","",2008-06-11,"","General Dynamics","USA","Cape Canaveral","Delta 2","2008-029A",33053,-80.53311,28.45861
"449",449,"Firebird-A","NR","Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)","USA","Government/Civil","Space Science","","LEO","Polar",0,443,886,0.0315,120.3,"98","2","","",2013-12-06,"3","Montana State University","USA","Vandenberg AFB","Atlas 5","2013-072B",39463,-120.53757,34.75046
"450",450,"Firebird-B","NR","Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)","USA","Government/Civil","Space Science","","LEO","Polar",0,443,886,0.0315,120.3,"98","2","","",2013-12-06,"3","Montana State University","USA","Vandenberg AFB","Atlas 5","2013-072C",39464,-120.53757,34.75046
"451",451,"Firebird-C","USA","Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)","USA","Government/Civil","Space Science","","LEO","Elliptical",0,437,667,0.0166,99.1,"95.7","2","","",2015-01-31,"0.25","Montana State University","USA","Vandenberg AFB","Delta 2","2015-003B",40377,-120.53757,34.75046
"452",452,"Firebird-D","USA","Firebird Consortium (Montana State Univ., Univ. of New Hampshire, Aerospace Corp., Los Alamos National Laboratory)","USA","Government/Civil","Space Science","","LEO","Elliptical",0,444,675,0.0167,99.1,"97.7","2","","",2015-01-31,"0.25","Montana State University","USA","Vandenberg AFB","Delta 2","2015-003C",40378,-120.53757,34.75046
"453",453,"Firefly","NR","NASA/Sienna College/Univ. of Maryland","USA","Government/Civil","Earth Science","","LEO","Non-Polar Inclined",0,437,449,0.000881,40.5,"94.68","3","","",2013-11-19,"1 yr.","National Science Foundation","USA","Wallops Island Flight Facility","Minotaur 1","2013-064R",39395,-75.48333,37.85
"454",454,"Formosat-2","NR","National Space Program Office (NSPO)","Taiwan","Government/Military","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,890,893,0.000207,99,"102.8","764","631","500-700",2004-05-21,"5","Astrium/NSPO","France/UK/Germany/Taiwan","Vandenberg AFB","Taurus XL","2004-018A",28254,-120.53757,34.75046
"455",455,"Fox-1A","NR","AMSAT-NA","USA","Civil","Communications/Technology Development","","LEO","Non-Polar Inclined",0,496,802,0.0218,64.78,"97.7","1","","",2015-10-08,"11","AMSAT/Penn State University/Vanderbilt University/Virginia Tech","USA","Cape Canaveral","Atlas 5","2015-058D",40967,-80.53311,28.45861
"456",456,"FUNCube-1 (AO-73)","NR","AMSAT-UK","Netherlands","Civil","Communications","","LEO","Sun-Synchronous",0,594,683,0.00635,97.8,"97.4","1","","",2013-11-21,"","AMSAT/UK-AMSAT/NL","UK/Netherlands","Dombarovsky Air Base","Dnepr","2013-066AE",39444,NA,NA
"457",457,"Galassia","NR","National University of Singapore","Singapore","Civil","Earth Science","","LEO","Equatorial",0,529,549,0.00145,14.98,"95.43","3","","",2015-12-16,"","National University of Singapore","Singapore","Satish Dhawan Space Centre","PSLV-C29","2015-077E",41170,103.85007,1.28967
"458",458,"Galaxy-11","USA","PanAmSat (Intelsat, Ltd.)","USA","Commercial","Communications","","GEO","",-55.5,35785,35795,0.000119,0.05,"1436.11","4488","2775","10400",1999-01-21,"14","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 4","1999-071A",26038,-52.76898,5.21603
"459",459,"Galaxy-12","USA","PanAmSat (Intelsat, Ltd.)","USA","Commercial","Communications","","GEO","",-122.9,35775,35796,0.000249,0.05,"1436.07","1760","800","",2003-04-09,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5","2003-013B",27715,-52.76898,5.21603
"460",460,"Galaxy-13","USA","PanAmSat (Intelsat, Ltd.)/Sky Perfect JSAT Corp.","USA/Japan","Commercial","Communications","","GEO","",-126.97,35781,35790,0.000107,0.01,"1436.07","4060","2630","8600",2003-10-01,"15","Boeing Satellite Systems","USA","Sea Launch (Odyssey)","Zenit 3","2003-044A",27954,-57.65625,-14.60485
"461",461,"Galaxy-14","USA","PanAmSat (Intelsat, Ltd.)","USA","Commercial","Communications","","GEO","",-124.96,35776,35795,0.000225,0.01,"1436.07","2086","","4700",2005-08-13,"15","Orbital Sciences Corp.","USA","Baikonur Cosmodrome","Soyuz-Fregat ","2005-030A",28790,63.30091,46.00573
"462",462,"Galaxy-15","USA","PanAmSat (Intelsat, Ltd.)","USA","Commercial","Communications","","GEO","",-132.97,35776,35795,0.000225,0.06,"1436.07","2033","","4700",2005-10-13,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5","2005-041A",28884,-52.76898,5.21603
"463",463,"Galaxy-16","USA","PanAmSat (Intelsat, Ltd.)","USA","Commercial","Communications","","GEO","",-99.02,35775,35798,0.000273,0.01,"1436.1","4640","","10000",2006-06-18,"15","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SL","2006-023A",29236,-57.65625,-14.60485
"464",464,"Galaxy-17","USA","Intelsat, Ltd.","USA","Commercial","Communications","","GEO","",-91.01,35774,35799,0.000297,0.02,"1436.1","4100","","9500",2007-05-04,"15","Thales Alenia Space","France/Italy","Guiana Space Center","Ariane 5 ECA","2007-016B",31307,-52.76898,5.21603
"465",465,"Galaxy-18","USA","Intelsat, Ltd.","USA","Commercial","Communications","","GEO","",-123.02,35774,35798,0.000285,0.02,"1436.1","4642","","",2008-05-21,"15","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SL","2008-024A",32951,-57.65625,-14.60485
"466",466,"Galaxy-19","USA","Intelsat, Ltd.","USA","Commercial","Communications","","GEO","",-97.08,35776,35796,0.000237,0.05,"1436.1","4690","","",2008-09-24,"15","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SL","2008-045A",33376,-57.65625,-14.60485
"467",467,"Galaxy-25","USA","Intelsat, Ltd. ","USA","Commercial","Communications","","GEO","",-93.09,35771,35801,0.000356,0.03,"1436.08","3515","","",1997-05-24,"13","Space Systems/Loral","USA","Baikonur Cosmodrome","Proton K","1997-026A",24812,63.30091,46.00573
"468",468,"Galaxy-28","USA","Intelsat, Ltd.","USA","Commercial","Communications","","GEO","",-88.96,35775,35798,0.000273,0.01,"1436.1","5493","","16000",2005-06-23,"13 trs,","Space Systems/Loral","USA","Sea Launch (Odyssey)","Zenit 3SL","2005-022A",28702,-57.65625,-14.60485
"469",469,"Galaxy-3C","USA","PanAmSat (Intelsat, Ltd.)/DirecTV L.A.","USA","Commercial","Communications","","GEO","",-95.02,35784,35788,4.74e-05,0.01,"1436.11","4860","2873","18000",2002-06-15,"15","Boeing Satellite Systems","USA","Sea Launch (Odyssey)","Zenit 3SL","2002-030A",27445,-57.65625,-14.60485
"470",470,"Galileo FOC FM1","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,17231,25971,0.156,49.78,"776.25","733","660","",2014-08-22,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2014-050A",40128,-52.76898,5.21603
"471",471,"Galileo FOC FM10","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23272,23280,0.000135,57.4,"847.01","723","","",2016-05-24,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2016-030A",41549,-52.76898,5.21603
"472",472,"Galileo FOC FM11","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23483,23530,0.000787,57.4,"856.9","723","","",2016-05-24,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2016-030B",41550,-52.76898,5.21603
"473",473,"Galileo FOC FM2","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,13810,25918,0.231,49.77,"705.11","733","660","",2014-08-22,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2014-050B",40129,-52.76898,5.21603
"474",474,"Galileo FOC FM3","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23516,23574,0.000969,55,"858.55","723","","",2015-03-27,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-017A",40544,-52.76898,5.21603
"475",475,"Galileo FOC FM4","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23353,23382,0.000488,55.1,"850.5","723","","",2015-03-27,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-017B",40545,-52.76898,5.21603
"476",476,"Galileo FOC FM5","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23218,23240,0.000372,57.1,"845","723","","",2015-09-11,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-045A",40889,-52.76898,5.21603
"477",477,"Galileo FOC FM6","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23220,23239,0.000321,57.1,"844","723","","",2015-09-11,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-045B",40890,-52.76898,5.21603
"478",478,"Galileo FOC FM8","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23550,23618,0.00114,54.96,"860.51","723","","",2015-12-17,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-079B",41175,-52.76898,5.21603
"479",479,"Galileo FOC FM9","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23551,23568,0.000284,54.95,"858.34","723","","",2015-12-17,"12","OHB-System GmbH, SSTL ","Germany/UK","Guiana Space Center","Soyuz-ST","2015-079A",41174,-52.76898,5.21603
"480",480,"Galileo IOV-1 FM2","NR","European Space Agency","ESA","Commerical","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23242,23307,0.0011,54.67,"846.98","700","","1420",2011-10-21,"12","Astrium/Thales Alenia Space","Germany/UK/Italy","Guiana Space Center","Soyuz-Fregat","2011-060B",37847,-52.76898,5.21603
"481",481,"Galileo IOV-1 PFM","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23240,23306,0.00111,54.68,"846.88","700","","1420",2011-10-21,"12","Astrium/Thales Alenia Space","Germany/UK/Italy","Guiana Space Center","Soyuz-Fregat","2011-060A",37846,-52.76898,5.21603
"482",482,"Galileo IOV-2 FM3","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23214,23233,0.000321,55.34,"844.76","700","","1420",2012-10-12,"12","EADS Astrium","Germany/UK/Italy","Guiana Space Center","Soyuz-Fregat","2012-055A",38857,-52.76898,5.21603
"483",483,"Galileo IOV-2 FM4","NR","European Space Agency","ESA","Commercial","Navigation/Global Positioning","","MEO","Non-Polar Inclined",0,23217,23227,0.000169,55.3,"844.69","700","","1420",2012-10-12,"12","EADS Astrium","Germany/UK/Italy","Guiana Space Center","Soyuz-Fregat","2012-055B",38858,-52.76898,5.21603
"484",484,"Gaofen 1","China","Shanghai Academy of Spaceflight Technology (SAST)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,630,654,0.00171,98.07,"97.56","1000","","",2013-04-26,"8-May","Shanghai Academy of Space Flight Technology","China","Jiuquan Satellite Launch Center","Long March 2D","2013-018A",39150,105,35
"485",485,"Gaofen 2","NR","Shanghai Academy of Spaceflight Technology (SAST)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,620,636,0.00114,98.02,"97.06","1000","","",2014-08-19,"8-May","Shanghai Academy of Space Flight Technology","China","Taiyuan Launch Center","Long March 4B","2014-049A",40118,105,35
"486",486,"Gaofen 4","NR","China Aerospace Science and Technology Corporation (CASTC)","China","Government","Earth Observation","Optical Imaging","GEO","",NA,35792,35796,4.74e-05,0.6,"1436.1","4600","","",2015-12-28,"8","China Aerospace Science and Technology Corporation","China","Xichang Satellite Launch Center","Long March 3B","2015-083A",41194,105,35
"487",487,"Gaofen 8","NR","Shanghai Academy of Spaceflight Technology (SAST)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,484,492,0.000583,97.3,"94.36","1000","","",2015-06-26,"8-May","Shanghai Academy of Space Flight Technology","China","Taiyuan Launch Center","Long March 4B","2015-030A",40701,105,35
"488",488,"Gaofen 9","NR","China Aerospace Science and Technology Corporation (CASTC)","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,618,664,0.00328,98.01,"97.54","1000","","",2015-09-14,"8-May","Shanghai Academy of Space Flight Technology","China","Jiuquan Satellite Launch Center","Long March 2D","2015-047A",40894,105,35
