"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"733",733,"Iridium 96","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,745,754,0.000632,87.2,"99.8","689","556","1,400 (EOL)",2002-02-11,"8","Motorola Satellite Communications Group","USA","Vandenberg AFB","Delta 2","2002-005E",27376,-120.53757,34.75046
"734",734,"Iridium 97","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,777,778,7e-05,86.4,"100.4","689","556","1,400 (EOL)",2002-06-20,"8","Motorola Satellite Communications Group","USA","Plesetsk Cosmodrome","Rokot/BrizKM","2002-031A",27450,-57.65625,-14.60485
"735",735,"Iridium 98","USA","Iridium Satellite LLC","USA","Government/Commercial","Communications","","LEO","Polar",0,748,750,0.00014,86.4,"99.8","689","556","1,400 (EOL)",2002-06-20,"8","Motorola Satellite Communications Group","USA","Plesetsk Cosmodrome","Rokot/BrizKM","2002-031B",27451,-57.65625,-14.60485
"736",736,"IRIS","USA","National Aeronautics and Space Administration (NASA)","USA","Government","Space Science","","LEO","Sun-Synchronous",0,620,664,0.00314,97.9,"97.5","236","","",2013-06-28,"2","Lockheed Martin Space Systems Advanced Technology Center (ATC)","USA","Vandenberg AFB","L1011","2013-033A",39197,-120.53757,34.75046
"737",737,"IRNSS-1A","India","Indian Space Research Organization (ISRO)","India","Government","Navigation/Regional Positioning","","GEO","",55,35712,35872,0.0019,27.1,"1436","1425","614","1660",2013-07-01,"12","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV","2013-034A",39199,79,22
"738",738,"IRNSS-1B","India","Indian Space Research Organization (ISRO)","India","Government","Navigation/Regional Positioning","","GEO","",55,35695,35880,0.00219,30.97,"1436.14","1432","615","1660",2014-04-04,"12","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV","2014-017A",39635,79,22
"739",739,"IRNSS-1C","NR","Indian Space Research Organization (ISRO)","India","Government","Navigation/Regional Positioning","","GEO","",83,35690,35871,0.00215,4.96,"1435.8","1425","598","1660",2014-10-15,"12","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV-XL","2014-061A",40269,79,22
"740",740,"IRNSS-1D","NR","Indian Space Research Organization (ISRO)","India","Government","Navigation/Regional Positioning","","GEO","",111.7,35699,35834,0.0016,30.04,"1435.06","1425","598","1600",2015-03-30,"12","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV-C27","2015-018A",40547,79,22
"741",741,"IRNSS-1E","NR","Indian Space Research Organization (ISRO)","India","Government","Navigation/Regional Positioning","","GEO","",111.7,35695,35874,0.00212,28.09,"1436.01","1425","598","1600",2016-01-20,"12","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV-XL","2016-003A",41241,79,22
"742",742,"IRNSS-1F","NR","Indian Space Research Organization (IRSO)","India","Government","Navigation/Regional Positioning","","GEO","",32.5,35700,35874,0.00206,5.09,"1436.13","1425","598","1600",2016-03-10,"12","IRSO Satellite Center","India","Satish Dhawan Space Center","PSLV-XL","2016-015A",41384,79,22
"743",743,"IRNSS-1G","NR","Indian Space Research Organization (IRSO)","India","Government","Navigation/Regional Positioning","","GEO","",129.5,35774,35797,0.000273,5.06,"1436.05","1425","598","1600",2016-04-28,"12","IRSO Satellite Center","India","Satish Dhawan Space Center","PSLV","2016-027A",41469,79,22
"744",744,"IRS-P6","India","Indian Space Research Organization (ISRO)","India","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,817,823,0.000417,98.8,"101.3","1360","","1200",2003-10-17,"5","ISRO Satellite Center","India","Satish Dhawan Space Center","PSLV C5","2003-046A",28051,79,22
"745",745,"ITU-pSAT1","NR","ITU Space Systems Design & Test Laboratory","Turkey","Civil","Technology Development","","LEO","Sun-Synchronous",0,710,721,0.000776,98.4,"99.1","1","","",2009-09-23,"1 yr.","ITU Space Systems Design & Test Laboratory","Turkey","Satish Dhawan Space Center","PSLV","2009-051E",35935,35,39
"746",746,"Jason 2","France","NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT","USA/France","Government","Earth Observation","Earth Science","LEO","Non-Polar Inclined",0,1332,1344,0.000778,66,"112.4","553","510","500",2008-06-20,"5","Thales Alenia Space","France","Vandenberg AFB","Delta 2","2008-032A",33105,-120.53757,34.75046
"747",747,"Jason 3","NR","NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT","USA/France","Government","Earth Observation","Earth Science","LEO","Non-Polar Inclined",0,1301,1324,0.0015,66,"111.8","553","510","500",2016-01-17,"5","Thales Alenia Space","France","Vandenberg AFB","Falcon 9","2016-002A",41240,-120.53757,34.75046
"748",748,"JCSat 10","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",127.51,35772,35801,0.000344,1.19,"1436.1","4400","1858","",2006-08-11,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5","2006-033A",29272,-52.76898,5.21603
"749",749,"JCSat 110","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",110.1,35784,35789,5.93e-05,0.01,"1436.11","3531","1669","7,200 (EOL)",2000-10-07,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 44L","2000-060A",26559,-52.76898,5.21603
"750",750,"JCSat 13","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",124,35780,35791,0.00013,0.05,"1436.03","4500","","",2012-05-15,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5 ECA","2012-023A",38331,-52.76898,5.21603
"751",751,"JCSat 14","NR","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",154,35861,35924,0.000745,0.02,"1441.5","4500","","",2016-05-06,"15","Space Systems/Loral","USA","Cape Canaveral","Falcon 9","2016-028A",41471,-80.53311,28.45861
"752",752,"JCSat 1B","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",128.03,35778,35794,0.00019,0.01,"1436.09","2982","1308","5200",1997-12-02,"12","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 4","1997-075A",25067,-52.76898,5.21603
"753",753,"JCSat 2A","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",154,35788,35794,7.12e-05,0.01,"1436.1","2500","1460","3500",2002-03-29,"11","Boeing Satellite Systems","USA","Guiana Space Center","Ariane 44L","2002-015A",27399,-52.76898,5.21603
"754",754,"JCSat 4A","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",123.85,33782,37768,0.0473,0.07,"1435.52","2900","1230","5200",1999-02-15,"14.5","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 2AS","1999-006A",25630,-80.53311,28.45861
"755",755,"JCSat 9","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",132.04,35776,35797,0.000249,0.01,"1436.1","4400","","",2006-04-12,"12","Lockheed Martin Commercial Space Systems","USA","Sea Launch (Odyssey)","Zenit 3SL","2006-010A",29045,-57.65625,-14.60485
"756",756,"JCSat R","Japan","Intelsat, S.A.","USA","Commercial","Communications","","GEO","",50,35779,35794,0.000178,0.02,"1436.1","3124","1841","5200",1997-02-16,"12","Boeing Satellite Systems","USA","Cape Canaveral","Atlas 2AS","1997-007A",24732,-80.53311,28.45861
"757",757,"JCSat RA","Japan","Sky Perfect JSAT Corporation","Japan","Commercial","Communications","","GEO","",142.49,35780,35794,0.000166,0.04,"1436.12","4000","","",2009-08-21,"15","Lockheed Martin Commercial Space Systems","USA","Guiana Space Center","Ariane 5","2009-044A",35755,-52.76898,5.21603
"758",758,"Jilin-1","NR","Changchun Institute of Optics","China","Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,638,662,0.00171,98.05,"97.73","400","","",2015-10-07,"","Chang Guang Satellite Technology Co. Ltd.","China","Jiuquan Satellite Launch Center","Long March 2D","2015-057D",40961,105,35
"759",759,"Jugnu","India","Indian Institute of Technology Kanpur","India","Civil","Earth Observation","Optical Imaging","LEO","Non-Polar Inclined",0,839,866,0.00187,20,"102","3","","3",2011-10-12,"1 yr.","Indian Institute of Technology Kanpur","India","Satish Dhawan Space Center","PSLV","2011-058B",37839,79,22
"760",760,"Kaituo-1A","NR","China Aerospace Science and Technology Corporation","China","Government","Technology Development","","LEO","Sun-Synchronous",0,518,536,0.0013,97.46,"95.18","130","","",2015-09-19,"","China Aerospace Science and Technology Corporation","China","Taiyuan Launch Center","Long March 6","2015-049F",40904,105,35
"761",761,"Kalpana-1","India","Indian Space Research Organization (ISRO)","India","Government","Earth Observation","Meteorology","GEO","",74.07,35783,35789,7.12e-05,0.04,"1436.08","1060","500","550",2002-09-12,"7-May","ISRO Satellite Center","India","Satish Dhawan Space Center","Polar Satellite Launch Vehicle (PSLV)","2002-043A",27525,79,22
"762",762,"KazEOSat-1","NR","Kazcosmos","Kazakhstan","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,751,754,0.000211,98.53,"99.87","830","","1200",2014-04-30,"7.25","Airbus Defence and Space","France","Guiana Space Center","Vega","2014-024A",39731,-52.76898,5.21603
"763",763,"KazEOSat-2","NR","Kazcosmos","Kazakhstan","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,612,636,0.00172,97.99,"97.19","185","","55",2014-06-19,"7","Surrey Satellite Technology Ltd. (SSTL)","UK","Dombarovsky Air Base","Dnepr","2014-033A",40010,NA,NA
"764",764,"KazSat-2","Kazakhstan","JSC KazSat","Kazakhstan","Commercial","Communications","","GEO","",86.5,35786,35788,2.37e-05,0.03,"1436.13","1300","","",2011-07-15,"12","Khrunichev","Russia","Baikonur Cosmodrome","Proton-M","2011-035B",37749,63.30091,46.00573
"765",765,"KazSat-3","NR","JSC KazSat","Kazakhstan","Commercial","Communications","","GEO","",58.5,35784,35789,5.93e-05,0.12,"1436.08","","","5500",2014-04-28,"15","Thales Alenia Space","Italy","Baikonur Cosmodrome","Proton-M","2014-023B",39728,63.30091,46.00573
"766",766,"Kent Ridge 1","NR","National University of Singapore","Singapore","Civil","Earth Observation","Optical Imaging","LEO","Equatorial",0,534,551,0.00123,14.98,"95.49","78","","",2015-12-16,"","National University of Singapore","Singapore","Satish Dhawan Space Center","PSLV-C29","2015-077B",41167,103.85007,1.28967
"767",767,"Kizuna","Japan","Japan Aerospace Exploration Agency (JAXA)","Japan","Government","Technology Development","","GEO","",143.05,35776,35796,0.000237,0.02,"1436.1","4850","2450","",2008-02-23,"","JAXA/National Institute of Information and Communications Technology (NICT)","Japan","Tanegashima Space Center","H2A","2008-007A",32500,130.97353,30.40318
"768",768,"KJSY-1","NR","Tsinghua University","China","Civil","Technology Development","","LEO","Sun-Synchronous",0,520,540,0.00145,97.46,"95.23","1","","",2015-09-19,"","Tsinghua University","China","Taiyuan Launch Center","Long March 6","2015-049R",40914,105,35
"769",769,"KKS-1","Japan","Tokyo Metropolitan College of Industrial Technology","Japan","Civil","Technology Development","","LEO","Sun-Synchronous",0,651,667,0.00114,98.03,"97.92","3","","",2009-01-23,"1 yr.","Tokyo Metropolitan College of Industrial Technology","Japan","Tanegashima Space Center","H-2A","2009-002H",33499,130.97353,30.40318
"770",770,"Kompsat-2","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government/Commercial","Earth Observation/Technology Development","Optical Imaging","LEO","Sun-Synchronous",0,676,698,0.00156,98.2,"98.5","800","","955",2006-07-28,"3","Korea Aerospace Research Institute (KARI)/ EADS Astrium","South Korea/France/UK/Germany","Plesetsk Cosmodrome","Rokot","2006-031A",29268,NA,NA
"771",771,"Kompsat-3","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government/Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,679,696,0.0012,98.2,"98.5","980","","1300",2012-05-17,"4","Korea Aerospace Research Institute (KARI)/ EADS Astrium","South Korea/France/UK/Germany","Tanegashima Space Center","H2A","2012-025B",38338,130.97353,30.40318
"772",772,"Kompsat-3A","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government/Commercial","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,522,540,0.0013,97.5,"95.25","980","","1300",2015-03-25,"4","Korea Aerospace Research Institute (KARI)","South Korea","Dombarovsky Air Base","Dnepr","2015-014A",40536,127.75,36.5
"773",773,"Kompsat-5","South Korea","Korea Aerospace Research Institute (KARI)","South Korea","Government/Commercial","Earth Observation","Radar Imaging","LEO","Sun-Synchronous",0,535,552,0.00123,97.6,"95.5","1400","","1400",2013-08-22,"5","Korea Aerospace Research Institute (KARI)","South Korea","Dombarovsky Air Base","Dnepr","2013-042A",39227,127.75,36.5
"774",774,"Koreasat 5","South Korea","KT Corporation/Korean Agency for Defense Development (ADD)","South Korea","Military/Commercial","Communications","","GEO","",113.08,35780,35792,0.000142,0.02,"1436.1","4450","","",2006-08-22,"","Alcatel Alenia Space","France","Sea Launch (Odyssey)","Zenit 3SL","2006-034A",29349,2,46
"775",775,"Koreasat 6","South Korea","KT Corporation","South Korea","Commercial","Communications","","GEO","",116,35780,35794,0.000166,0.05,"1436.12","2850","1150","",2010-12-29,"15","Orbital Sciences Corp.","USA","Guiana Space Center","Ariane 5","2010-070B",37265,-52.76898,5.21603
"776",776,"Kuaizhou-2","NR","National Academy of Sciences","China","Government","Earth Observation","Optical Imaging","LEO","Sun-Synchronous",0,295,328,0.00247,96.54,"90.76","","","",2014-11-21,"","Harbin Institute of Technology","China","Jiuquan Satellite Launch Center","Kuaizhou","2014-073A",40311,105,35
"777",777,"Kukai","NR","Kanagawa University","Japan","Civil","Technology Development","","LEO","Sun-Synchronous",0,647,667,0.00142,98.03,"97.88","7","","",2009-01-23,"","Kanagawa University","Japan","Tanegashima Space Center","H-2A","2009-002G",33498,130.97353,30.40318
"778",778,"Landsat 7","USA","NASA/US Geological Survey","USA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,702,703,7.07e-05,98.2,"98.8","2744","2200","1500",1999-04-15,"15","Lockheed Martin Missiles and Space","USA","Vandenberg AFB","Delta 2","1999-020A",25682,-120.53757,34.75046
"779",779,"Landsat 8","USA","NASA/US Geological Survey","USA","Government","Earth Observation","Earth Science","LEO","Sun-Synchronous",0,700,705,0.000353,98.2,"98.8","2780","1512","4300",2013-02-11,"5","Orbital Sciences Corp.","USA","Vandenberg AFB","Atlas 5","2013-008A",39084,-120.53757,34.75046
